Name,Team,Age,Position,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,Rating
Harry Kane,Tottenham,30,Forward,35,3087,0.6285714285714286,0.3142857142857143,0.7428571428571429,0.0,1.1142857142857143,0.5142857142857142,0.3142857142857143,7.787142857142859
Kevin De Bruyne,Man City,32,Midfielder,25,2001,1.36,0.36,1.08,0.0,0.32,1.4,0.04,7.6536
Jack Grealish,Aston Villa,27,Midfielder,26,2184,1.1923076923076923,0.4615384615384615,1.5384615384615383,0.0,0.1538461538461538,0.3461538461538461,0.1153846153846153,7.560384615384615
Bruno Fernandes,Man Utd,28,Midfielder,37,3110,1.5405405405405406,0.7027027027027027,1.162162162162162,0.027027027027027,0.7297297297297297,2.0,0.0,7.429189189189188
Tomas Soucek,West Ham,28,Midfielder,38,3420,2.0526315789473686,1.631578947368421,1.8157894736842104,0.0526315789473684,2.6842105263157894,1.2894736842105263,0.4736842105263157,7.36421052631579
Mason Mount,Chelsea,24,Midfielder,36,2892,2.083333333333333,0.8611111111111112,1.3888888888888888,0.0,0.3333333333333333,1.2222222222222223,0.0555555555555555,7.331388888888891
Sadio Mane,Liverpool,31,Forward,35,2813,1.3714285714285714,0.4285714285714285,1.5142857142857142,0.0,0.2571428571428571,0.6,0.0,7.328285714285716
Riyad Mahrez,Man City,32,Forward,27,1955,0.7407407407407407,0.2962962962962963,0.4814814814814814,0.0,0.1481481481481481,0.8888888888888888,0.0,7.313703703703704
Joao Cancelo,Man City,29,Defender,28,2302,2.4285714285714284,1.4642857142857142,1.2857142857142858,0.3214285714285714,1.0,1.4285714285714286,0.0714285714285714,7.310714285714285
Gareth Bale,Tottenham,34,Forward,20,923,0.85,0.4,0.45,0.1,0.7,0.35,0.1,7.295
Nathaniel Phillips,Liverpool,26,Defender,17,1456,1.2941176470588236,1.1764705882352942,1.1764705882352942,0.5294117647058824,4.764705882352941,0.7647058823529411,0.8235294117647058,7.291176470588236
Ilkay Gundogan,Man City,32,Midfielder,28,2031,0.8928571428571429,0.7142857142857143,0.2857142857142857,0.0,0.3214285714285714,1.0357142857142858,0.1428571428571428,7.287142857142856
Son Heung-Min,Tottenham,31,Forward,37,3127,0.8648648648648649,0.3783783783783784,0.3783783783783784,0.0,0.081081081081081,1.4594594594594594,0.081081081081081,7.269189189189189
Wilfred Ndidi,Leicester,26,Midfielder,26,2179,3.692307692307693,2.3461538461538463,2.076923076923077,0.1153846153846153,2.0,1.5384615384615383,0.4230769230769231,7.248076923076923
Jesse Lingard,West Ham,30,Midfielder,16,1426,0.75,0.25,1.3125,0.0,0.0,0.5625,0.0625,7.22125
Raphinha,Leeds,26,Forward,30,2364,1.1333333333333333,0.9666666666666668,0.4333333333333333,0.0,0.8666666666666667,1.5333333333333334,0.0333333333333333,7.218000000000001
Raheem Sterling,Man City,28,Forward,31,2537,0.6774193548387096,0.4838709677419355,1.1612903225806452,0.0,0.1290322580645161,0.2258064516129032,0.0,7.216774193548388
