Name,Team,Age,Position,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
Philippe Coutinho,Liverpool,31,Midfielder,14,1116,7,6,3.857142857142857,2.857142857142857,2.7857142857142856,1.5,0.2857142857142857,1.8571428571428568,1.3571428571428572,8.029285714285715
Sergio Aguero,Man City,35,Forward,25,1969,21,6,3.76,1.6,2.24,0.68,0.64,1.72,2.24,7.81
Alex Oxlade Chamberlain,Arsenal,30,Midfielder,3,242,0,0,3.0,1.6666666666666667,5.666666666666667,0.3333333333333333,0.3333333333333333,1.3333333333333333,1.6666666666666667,7.8066666666666675
Kevin De Bruyne,Man City,32,Midfielder,37,3085,8,16,2.5405405405405403,2.864864864864865,1.7027027027027026,0.8918918918918919,0.054054054054054,1.6216216216216215,1.7297297297297298,7.803243243243244
Henri Saivet,Newcastle,32,Midfielder,1,84,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7
Mohamed Salah,Liverpool,31,Forward,36,2922,32,10,4.0,1.7222222222222223,2.1944444444444446,0.8055555555555556,0.4722222222222222,2.638888888888889,2.9166666666666665,7.691111111111111
Eden Hazard,Chelsea,32,Forward,34,2433,12,4,2.088235294117647,2.4705882352941178,4.852941176470588,2.411764705882353,0.4705882352941176,2.264705882352941,1.911764705882353,7.685
Harry Kane,Tottenham,30,Forward,37,3083,30,2,4.972972972972973,0.8918918918918919,1.2702702702702702,1.0810810810810811,1.135135135135135,1.6216216216216215,1.7297297297297298,7.596216216216215
David Silva,Man City,37,Midfielder,29,2437,9,11,1.862068965517241,2.103448275862069,1.3103448275862069,1.2413793103448276,0.1379310344827586,1.0,1.103448275862069,7.578965517241379
Alexis Sanchez,Man Utd,34,Forward,12,1048,2,3,1.5833333333333333,2.1666666666666665,3.6666666666666665,2.583333333333333,0.8333333333333334,2.9166666666666665,2.6666666666666665,7.552500000000001
Raheem Sterling,Man City,28,Forward,33,2593,18,11,2.636363636363636,1.6666666666666667,1.9393939393939397,1.7575757575757576,0.5757575757575758,1.7878787878787878,1.9696969696969695,7.546666666666667
Leroy Sane,Man City,27,Forward,32,2423,10,15,1.78125,1.8125,2.65625,0.84375,0.21875,2.0,2.53125,7.543749999999999
Paulo Gazzaniga,Tottenham,31,Goalkeeper,1,90,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.52
Aaron Wan-Bissaka,Crystal Palace,25,Defender,7,628,0,0,0.0,0.4285714285714285,1.8571428571428568,0.4285714285714285,0.0,0.8571428571428571,1.2857142857142858,7.518571428571429
Paul Pogba,Man Utd,30,Midfielder,27,2151,6,10,2.814814814814815,1.4444444444444444,2.7777777777777777,1.8888888888888888,0.1111111111111111,1.4814814814814814,2.074074074074074,7.478888888888889
Fernandinho,Man City,38,Midfielder,34,2885,5,3,1.3823529411764706,0.6176470588235294,0.6470588235294118,0.7941176470588235,0.0,0.5882352941176471,1.0294117647058822,7.436470588235294
Jeremy Pied,Southampton,34,Defender,2,180,0,1,1.0,1.0,1.0,1.0,0.0,0.0,1.5,7.405
Christian Eriksen,Tottenham,31,Midfielder,37,3226,10,10,2.621621621621621,2.5675675675675675,0.7837837837837838,0.5675675675675675,0.027027027027027,1.945945945945946,2.027027027027027,7.399459459459459
Roberto Firmino,Liverpool,31,Forward,37,2778,15,7,2.27027027027027,1.5405405405405406,1.3243243243243243,0.4864864864864865,0.3513513513513513,1.9189189189189189,2.1621621621621623,7.389999999999999
Shkodran Mustafi,Arsenal,31,Defender,27,2274,3,1,0.4814814814814814,0.2592592592592592,0.037037037037037,0.4444444444444444,0.074074074074074,0.1481481481481481,0.2962962962962963,7.384074074074074
Wilfried Zaha,Crystal Palace,30,Forward,29,2551,9,3,2.206896551724138,1.827586206896552,4.103448275862069,2.6206896551724137,0.6551724137931034,3.793103448275862,3.655172413793104,7.381379310344827
Virgil van Dijk,Liverpool,32,Defender,14,1260,0,0,1.1428571428571428,0.3571428571428571,0.0,0.7857142857142857,0.0,0.1428571428571428,0.1428571428571428,7.35
