,Player Id,Name,Birth Year,Age,Team,Position,year
1653,80767,Philippe Coutinho,1992,25,Liverpool,Midfielder,2017
1654,14260,Sergio Aguero,1988,29,Man City,Forward,2017
1656,73084,Kevin De Bruyne,1991,26,Man City,Midfielder,2017
1657,34949,Henri Saivet,1991,26,Newcastle,Midfielder,2017
1658,108226,Mohamed Salah,1992,25,Liverpool,Forward,2017
1659,33404,Eden Hazard,1991,26,Chelsea,Forward,2017
1660,83532,Harry Kane,1993,24,Tottenham,Forward,2017
1661,14102,David Silva,1986,31,Man City,Midfielder,2017
1662,25244,Alexis Sanchez,1989,28,Man Utd,Forward,2017
1663,97692,Raheem Sterling,1995,22,Man City,Forward,2017
1664,144711,Leroy Sane,1996,21,Man City,Forward,2017
1665,104732,Paulo Gazzaniga,1992,25,Tottenham,Goalkeeper,2017
1666,331924,Aaron Wan-Bissaka,1998,19,Crystal Palace,Defender,2017
1667,97752,Paul Pogba,1993,24,Man Utd,Midfielder,2017
1668,19119,Fernandinho,1985,32,Man City,Midfielder,2017
1669,42248,Jeremy Pied,1989,28,Southampton,Defender,2017
1670,69344,Christian Eriksen,1992,25,Tottenham,Midfielder,2017
1671,96182,Roberto Firmino,1992,25,Liverpool,Forward,2017
1672,80921,Shkodran Mustafi,1992,25,Arsenal,Defender,2017
1673,85059,Wilfried Zaha,1993,24,Crystal Palace,Forward,2017
1674,95408,Virgil van Dijk,1991,26,Liverpool,Defender,2017
1675,28421,Henrikh Mkhitaryan,1989,28,Arsenal,Midfielder,2017
1676,33831,Sergio Romero,1987,30,Man Utd,Goalkeeper,2017
1678,44120,Pierre-Emerick Aubameyang,1989,28,Arsenal,Forward,2017
1679,33930,James Tomkins,1989,28,Crystal Palace,Defender,2017
1680,78498,Romelu Lukaku,1993,24,Man Utd,Forward,2017
1681,104749,Riyad Mahrez,1991,26,Leicester,Forward,2017
1682,83683,Serge Aurier,1993,24,Tottenham,Defender,2017
1683,111212,Emre Can,1994,23,Liverpool,Midfielder,2017
1684,313672,Kyle Walker-Peters,1997,20,Tottenham,Defender,2017
1685,109915,Sadio Mane,1992,25,Liverpool,Forward,2017
1686,26820,Aaron Ramsey,1991,26,Arsenal,Midfielder,2017
1687,21778,Jan Vertonghen,1987,30,Tottenham,Defender,2017
1688,13756,Mesut Ozil,1989,28,Arsenal,Midfielder,2017
1689,114075,N'Golo Kante,1991,26,Chelsea,Midfielder,2017
1690,71345,Chris Smalling,1990,27,Man Utd,Defender,2017
1691,131464,James Tarkowski,1993,24,Burnley,Defender,2017
1692,81726,Phil Jones,1992,25,Man Utd,Defender,2017
1693,38128,Nemanja Matic,1988,29,Man Utd,Midfielder,2017
1694,25931,Cesar Azpilicueta,1989,28,Chelsea,Defender,2017
1695,75692,Shane Duffy,1992,25,Brighton,Defender,2017
1696,74606,Kevin Long,1990,27,Burnley,Defender,2017
1697,27213,Fabian Delph,1990,27,Man City,Midfielder,2017
1698,327683,Wilfred Ndidi,1997,20,Leicester,Midfielder,2017
1699,75691,Nicolas Otamendi,1988,29,Man City,Defender,2017
1700,84008,Marcos Alonso,1991,26,Chelsea,Defender,2017
1701,23072,Nacho Monreal,1986,31,Arsenal,Defender,2017
1702,13796,Theo Walcott,1989,28,Everton,Forward,2017
1703,94935,Ben Mee,1990,27,Burnley,Defender,2017
1704,106086,Kurt Zouma,1995,22,Stoke,Defender,2017
1705,8166,Ashley Young,1985,32,Man Utd,Defender,2017
1706,71522,Andros Townsend,1991,26,Crystal Palace,Midfielder,2017
1707,273257,Oleksandr Zinchenko,1997,20,Man City,Defender,2017
1708,136451,Joe Gomez,1997,20,Liverpool,Defender,2017
1709,132360,Christopher Schindler,1990,27,Huddersfield,Defender,2017
1710,93473,Robert Brady,1992,25,Burnley,Midfielder,2017
1711,302497,Alexander Soerloth,1996,21,Crystal Palace,Forward,2017
1712,8040,Cesc Fabregas,1987,30,Chelsea,Midfielder,2017
1714,29798,Ryan Shawcross,1988,29,Stoke,Defender,2017
1715,122117,Aymeric Laporte,1994,23,Man City,Defender,2017
1716,131519,Dele Alli,1996,21,Tottenham,Midfielder,2017
1717,73078,Alexandre Lacazette,1991,26,Arsenal,Forward,2017
1718,103837,Ben Davies,1993,24,Tottenham,Defender,2017
1719,255777,Ruben Loftus-Cheek,1996,21,Crystal Palace,Midfielder,2017
