,No.,Year,Name,Age,Team,Position
2127,444,2018,Eden Hazard,27,Chelsea,Forward
2128,1348,2018,Raheem Sterling,23,Man City,Forward
2129,1490,2018,Sergio Aguero,30,Man City,Forward
2130,1650,2018,Virgil van Dijk,27,Liverpool,Defender
2131,1437,2018,Sadio Mane,26,Liverpool,Forward
2132,613,2018,Harry Kane,25,Tottenham,Forward
2133,1013,2018,Lucas Digne,25,Everton,Defender
2134,1376,2018,Ricardo Pereira,24,Leicester,Defender
2135,1313,2018,Paul Pogba,25,Man Utd,Midfielder
2136,517,2018,Fernandinho,33,Man City,Midfielder
2137,501,2018,Fabian Schar,26,Newcastle,Defender
2138,181,2018,Benjamin Mendy,24,Man City,Defender
2139,9,2018,Aaron Wan-Bissaka,20,Crystal Palace,Defender
2140,382,2018,David Silva,32,Man City,Midfielder
2141,188,2018,Bernardo Silva,24,Man City,Midfielder
2142,986,2018,Leroy Sane,22,Man City,Forward
2143,515,2018,Felipe Anderson,25,West Ham,Midfielder
2144,1669,2018,Wilfred Ndidi,21,Leicester,Midfielder
2145,1672,2018,Wilfried Zaha,25,Crystal Palace,Forward
2146,699,2018,James Maddison,21,Leicester,Midfielder
2147,1394,2018,Roberto Firmino,26,Liverpool,Forward
2148,1025,2018,Luka Milivojevic,27,Crystal Palace,Midfielder
2149,807,2018,John Ruddy,31,Wolves,Goalkeeper
2150,1268,2018,Oleksandr Zinchenko,21,Man City,Defender
2151,1069,2018,Marcos Alonso,27,Chelsea,Defender
2152,69,2018,Alexandre Lacazette,27,Arsenal,Forward
2153,602,2018,Gylfi Sigurdsson,28,Everton,Midfielder
2154,1520,2018,Sol Bamba,33,Cardiff,Defender
2155,641,2018,Idrissa Gueye,28,Everton,Midfielder
2156,1706,2018,Youri Tielemans,21,Leicester,Midfielder
2157,1316,2018,Paulo Gazzaniga,26,Tottenham,Goalkeeper
2158,1168,2018,Michael Keane,25,Everton,Defender
2159,491,2018,Etienne Capoue,30,Watford,Midfielder
2160,1122,2018,Matt Doherty,26,Wolves,Defender
2161,1683,2018,Willy Boly,27,Wolves,Defender
2162,116,2018,Andy Robertson,24,Liverpool,Defender
2163,707,2018,James Tarkowski,25,Burnley,Defender
2164,1497,2018,Shane Duffy,26,Brighton,Defender
2165,1622,2018,Troy Deeney,30,Watford,Forward
2166,792,2018,Joel Matip,27,Liverpool,Defender
2167,941,2018,Kieran Trippier,27,Tottenham,Defender
2168,1339,2018,Pierre-Emerick Aubameyang,29,Arsenal,Forward
2169,1522,2018,Son Heung-Min,26,Tottenham,Forward
2170,645,2018,Ilkay Gundogan,27,Man City,Midfielder
2171,1429,2018,Ryan Fraser,24,Bournemouth,Midfielder
2172,287,2018,Christian Eriksen,26,Tottenham,Midfielder
2173,397,2018,Dejan Lovren,29,Liverpool,Defender
2174,373,2018,David Luiz,31,Chelsea,Defender
2175,1334,2018,Philip Billing,22,Huddersfield,Midfielder
2176,1084,2018,Mark Travers,19,Bournemouth,Goalkeeper
2177,1357,2018,Raul Jimenez,27,Wolves,Forward
2178,720,2018,Jannik Vestergaard,26,Southampton,Defender
2179,767,2018,Joao Moutinho,31,Wolves,Midfielder
2180,296,2018,Ciaran Clark,28,Newcastle,Defender
2181,1681,2018,Willian,30,Chelsea,Forward
2182,1506,2018,Shkodran Mustafi,26,Arsenal,Defender
2183,1329,2018,Petr Cech,36,Arsenal,Goalkeeper
2184,153,2018,Aymeric Laporte,24,Man City,Defender
2185,1440,2018,Salomon Rondon,28,Newcastle,Forward
2186,922,2018,Kevin De Bruyne,27,Man City,Midfielder
2187,164,2018,Ben Chilwell,21,Leicester,Defender
2188,716,2018,Jan Bednarek,22,Southampton,Defender
2189,440,2018,Dwight McNeil,18,Burnley,Forward
2190,593,2018,Granit Xhaka,25,Arsenal,Midfielder
2191,54,2018,Aleksandar Mitrovic,23,Fulham,Forward
2192,1030,2018,Lukasz Fabianski,33,West Ham,Goalkeeper
2193,259,2018,Cesar Azpilicueta,29,Chelsea,Defender
2194,614,2018,Harry Maguire,25,Leicester,Defender
2195,352,2018,Danilo,27,Man City,Defender
2196,851,2018,Jose Holebas,34,Watford,Defender
2197,240,2018,Callum Wilson,26,Bournemouth,Forward
2198,499,2018,Fabian Balbuena,27,West Ham,Defender
2199,1249,2018,Nicolas Otamendi,30,Man City,Defender
2200,113,2018,Andros Townsend,27,Crystal Palace,Midfielder
2201,1317,2018,Pedro,31,Chelsea,Forward
2202,968,2018,Leander Dendoncker,23,Wolves,Midfielder
2203,1213,2018,Nacho Monreal,32,Arsenal,Defender
2204,741,2018,Jefferson Lerma,23,Bournemouth,Midfielder
2205,1535,2018,Steve Cook,27,Bournemouth,Defender
2206,1477,2018,Sean Morrison,27,Cardiff,Defender
2207,960,2018,Kyle Walker,28,Man City,Defender
2208,92,2018,Ander Herrera,29,Man Utd,Midfielder
2209,869,2018,Joshua King,26,Bournemouth,Forward
2210,1386,2018,Riyad Mahrez,27,Man City,Forward
2211,632,2018,Hugo Lloris,31,Tottenham,Goalkeeper
2212,1015,2018,Lucas Moura,26,Tottenham,Forward
2213,650,2018,Isaac Hayden,23,Newcastle,Midfielder
2214,502,2018,Fabinho,24,Liverpool,Midfielder
2215,961,2018,Kyle Walker-Peters,21,Tottenham,Defender
2216,528,2018,Florian Lejeune,27,Newcastle,Defender
2217,1074,2018,Marcus Rashford,20,Man Utd,Forward
2218,1126,2018,Matt Ritchie,28,Newcastle,Midfielder
2219,154,2018,Ayoze Perez,25,Newcastle,Forward
2220,398,2018,Dele Alli,22,Tottenham,Midfielder
2221,715,2018,Jamie Vardy,31,Leicester,Forward
2222,1406,2018,Romain Saiss,28,Wolves,Defender
2223,1649,2018,Vincent Kompany,32,Man City,Defender
2224,876,2018,Juan Foyth,20,Tottenham,Defender
2225,393,2018,Declan Rice,19,West Ham,Midfielder
2226,1209,2018,N'Golo Kante,27,Chelsea,Midfielder
2227,1173,2018,Michail Antonio,28,West Ham,Forward
2228,965,2018,Laurent Koscielny,32,Arsenal,Defender
2229,924,2018,Kevin Long,28,Burnley,Defender
2230,704,2018,James Milner,32,Liverpool,Midfielder
2231,1038,2018,Luke Shaw,23,Man Utd,Defender
2232,1226,2018,Nathan Redmond,24,Southampton,Midfielder
2233,186,2018,Bernardo,23,Brighton,Defender
2234,126,2018,Anthony Martial,22,Man Utd,Forward
2235,144,2018,Arthur Masuaku,24,West Ham,Defender
2236,421,2018,Diogo Jota,21,Wolves,Forward
2237,1127,2018,Matt Targett,22,Southampton,Defender
2238,590,2018,Gonzalo Higuain,30,Chelsea,Forward
2239,719,2018,Jan Vertonghen,31,Tottenham,Defender
2240,1380,2018,Richarlison,21,Everton,Forward
2241,657,2018,Issa Diop,21,West Ham,Defender
2242,575,2018,Georginio Wijnaldum,27,Liverpool,Midfielder
2243,846,2018,Jorginho,26,Chelsea,Midfielder
2244,368,2018,Daryl Janmaat,29,Watford,Defender
2245,1231,2018,Nathaniel Mendez-Laing,26,Cardiff,Forward
2246,628,2018,Henrikh Mkhitaryan,29,Arsenal,Midfielder
