Rank,Name,Position,Team,Weekly Salary
1.0,Fernando Torres,Forward,CFC,340362
2.0,Wayne Rooney,Forward,MUFC,300000
3.0,Eden Hazard,Midfielder,CFC,225000
4.0,Sergio Aguero,Forward,MCFC,220000
,Yaya Toure,Midfielder,MCFC,220000
6.0,David De Gea,Goalkeeper,MUFC,200000
7.0,Diego Costa,Forward,CFC,185000
8.0,David Silva,Midfielder,MCFC,160000
,Juan Mata,Midfielder,MUFC,160000
10.0,Lukas Podolski,Forward,AFC,157769
11.0,Cesc Fabregas,Midfielder,CFC,156000
12.0,Andre Schurrle,Forward,CFC,152623
13.0,Oscar,Midfielder,CFC,152255
14.0,John Terry,Defender,CFC,150000
,Kevin De Bruyne,Midfielder,MCFC,150000
,Vincent Kompany,Defender,MCFC,150000
,Samir Nasri,Forward,MCFC,150000
,Raheem Sterling,Forward,MCFC,150000
19.0,Mesut Ozil,Midfielder,AFC,140000
,Alexis Sanchez,Forward,AFC,140000
,Theo Walcott,Forward,AFC,140000
,Christian Benteke,Forward,LFC,140000
,James Milner,Midfielder,LFC,140000
24.0,Demba Ba,Forward,CFC,137276
25.0,Daniel Sturridge,Forward,LFC,130000
26.0,Danny Welbeck,Forward,AFC,125000
27.0,Thibaut Courtois,Goalkeeper,CFC,120000
,Nicolas Otamendi,Defender,MCFC,120000
,Ashley Young,Midfielder,MUFC,120000
30.0,Joe Hart,Goalkeeper,MCFC,116000
31.0,Ander Herrera,Midfielder,MUFC,115000
32.0,Aaron Ramsey,Midfielder,AFC,110000
,Anthony Martial,Forward,MUFC,110000
,Marcos Rojo,Defender,MUFC,110000
,Luke Shaw,Defender,MUFC,110000
36.0,Santi Cazorla,Midfielder,AFC,100000
,Petr Cech,Goalkeeper,AFC,100000
,Gary Cahill,Defender,CFC,100000
,Pedro Rodriguez Ledesma,Midfielder,CFC,100000
,Jamie Vardy,Forward,LC,100000
,Roberto Firmino,Forward,LFC,100000
,Jordan Henderson,Midfielder,LFC,100000
,Wilfried Bony,Forward,MCFC,100000
,Fernandinho Luis Roza,Midfielder,MCFC,100000
,Eliaquim Mangala,Defender,MCFC,100000
,Fernando Reges,Midfielder,MCFC,100000
47.0,Jack Wilshere,Midfielder,AFC,90000
,Nemanja Matic,Midfielder,CFC,90000
,Loic Remy,Forward,CFC,90000
,Andy Carroll,Forward,WHUFC,90000
51.0,Baba Rahman,Defender,CFC,86000
,Yohan Cabaye,Midfielder,CP,86000
53.0,Willian da Silva,Midfielder,CFC,85000
,Mamadou Sakho,Defender,LFC,85000
,Antonio Valencia,Defender,MUFC,85000
,Heung-Min Son,Forward,THFC,85000
57.0,Olivier Giroud,Forward,AFC,80000
,Romelu Lukaku,Forward,EFC,80000
,Fabian Delph,Midfielder,MCFC,80000
,Marouane Fellaini,Midfielder,MUFC,80000
,Toby Alderweireld,Defender,THFC,80000
,Erik Lamela,Midfielder,THFC,80000
63.0,Charles  N'Zogbia,Midfielder,AVFC,76538
64.0,John Mikel Obi,Midfielder,CFC,75155
65.0,Mathieu Debuchy,Defender,AFC,75000
,Branislav Ivanovic,Defender,CFC,75000
,Danny Ings,Forward,LFC,75000
