No,Player,Team,Apps,Min,G,NPG,A,xG,NPxG,xA,xGChain,xGBuildup,xG90,NPxG90,xA90,xG90+xA90,NPxG90+xA90,xGChain90,xGBuildup90
453,Son Heung-Min,Tottenham,35,3051,23,23,7,16.99,16.99,7.85,29.62,10.34,0.5,0.5,0.23,0.73,0.73,0.87,0.31
1250,Mohamed Salah,Liverpool,35,2757,23,18,13,24.36,19.8,9.79,32.16,11.22,0.8,0.65,0.32,1.11,0.97,1.05,0.37
2371,Cristiano Ronaldo,Manchester United,30,2468,18,15,3,17.21,14.93,4.42,23.25,7.72,0.63,0.54,0.16,0.79,0.71,0.85,0.28
647,Harry Kane,Tottenham,37,3229,17,13,9,20.69,17.64,9.82,31.89,9.81,0.58,0.49,0.27,0.85,0.77,0.89,0.27
838,Sadio Mane,Liverpool,34,2833,16,16,2,16.83,16.83,5.27,28.45,11.07,0.53,0.53,0.17,0.7,0.7,0.9,0.35
447,Kevin De Bruyne,Manchester City,30,2214,15,15,8,5.95,5.95,11.26,20.32,9.41,0.24,0.24,0.46,0.7,0.7,0.83,0.38
755,Jamie Vardy,Leicester,25,1807,15,15,2,9.99,9.99,1.61,12.64,2.0,0.5,0.5,0.08,0.58,0.58,0.63,0.1
6854,Diogo Jota,Liverpool,35,2401,15,15,4,17.35,17.35,5.87,25.78,6.92,0.65,0.65,0.22,0.87,0.87,0.97,0.26
522,Wilfried Zaha,Crystal Palace,33,2762,14,9,1,10.18,4.86,4.89,12.1,3.81,0.33,0.16,0.16,0.49,0.32,0.39,0.12
618,Raheem Sterling,Manchester City,30,2119,13,11,5,15.78,13.49,5.02,23.1,9.67,0.67,0.57,0.21,0.88,0.79,0.98,0.41
998,Ivan Toney,Brentford,33,2905,12,7,5,12.05,8.24,7.34,12.17,2.39,0.37,0.26,0.23,0.6,0.48,0.38,0.07
1776,Jarrod Bowen,West Ham,36,3003,12,12,10,12.93,12.93,5.82,21.7,6.55,0.39,0.39,0.17,0.56,0.56,0.65,0.2
6818,James Maddison,Leicester,35,2480,12,12,8,6.5,6.5,5.67,14.61,5.83,0.24,0.24,0.21,0.44,0.44,0.53,0.21
750,Riyad Mahrez,Manchester City,28,1468,11,7,5,10.12,6.32,3.93,14.37,6.28,0.62,0.39,0.24,0.86,0.63,0.88,0.38
7322,Bukayo Saka,Arsenal,38,3034,11,9,7,9.91,8.38,7.63,19.45,9.06,0.29,0.25,0.23,0.52,0.48,0.58,0.27
7696,Teemu Pukki,Norwich,37,3278,11,8,3,11.45,9.17,4.06,11.97,1.04,0.31,0.25,0.11,0.43,0.36,0.33,0.03
7768,Mason Mount,Chelsea,32,2367,11,10,10,8.52,7.76,7.21,18.23,7.47,0.32,0.3,0.27,0.6,0.57,0.69,0.28
