Name,Team,Age,Position,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,Rating
Eden Hazard,Chelsea,32,Forward,37,2926,0.3783783783783784,0.35135135135135137,0.32432432432432434,0.0,0.10810810810810811,0.32432432432432434,0.0,7.811621621621624
Raheem Sterling,Man City,28,Forward,34,2777,0.9411764705882353,0.5,1.1764705882352942,0.0,0.11764705882352941,0.47058823529411764,0.08823529411764706,7.614411764705882
Mohamed Salah,Liverpool,31,Forward,38,3262,0.5526315789473685,0.13157894736842105,0.6578947368421053,0.0,0.10526315789473684,0.2894736842105263,0.0,7.566052631578947
Sergio Agüero,Man City,35,Forward,33,2480,0.5151515151515151,0.2727272727272727,0.6363636363636364,0.0,0.09090909090909091,0.12121212121212122,0.030303030303030304,7.529090909090908
Virgil van Dijk,Liverpool,32,Defender,38,3385,1.0,1.0526315789473684,0.3157894736842105,1.0789473684210527,5.2368421052631575,0.0,0.47368421052631576,7.439473684210524
Sadio Mané,Liverpool,31,Forward,36,3086,0.9722222222222222,0.4166666666666667,0.9444444444444444,0.05555555555555555,0.2222222222222222,0.8055555555555556,0.1111111111111111,7.432777777777779
Harry Kane,Tottenham,30,Forward,28,2427,0.35714285714285715,0.03571428571428571,1.1071428571428572,0.0,0.5,0.4642857142857143,0.21428571428571427,7.38357142857143
Trent Alexander-Arnold,Liverpool,24,Defender,29,2467,2.103448275862069,1.206896551724138,0.4827586206896552,0.3103448275862069,2.1379310344827585,1.103448275862069,0.10344827586206896,7.363793103448274
Lucas Digne,Everton,30,Defender,35,2966,2.0285714285714285,1.7142857142857142,1.1142857142857143,0.2857142857142857,2.6857142857142855,0.4857142857142857,0.2571428571428571,7.359714285714286
Ricardo Pereira,Leicester,29,Defender,35,3125,3.3714285714285714,1.7142857142857142,1.1714285714285715,0.2,3.0285714285714285,1.6571428571428573,0.17142857142857143,7.339714285714285
Paul Pogba,Man Utd,30,Midfielder,35,3012,1.3428571428571427,0.5142857142857142,1.542857142857143,0.0,1.0285714285714285,0.7428571428571429,0.2571428571428571,7.312
Fernandinho,Man City,38,Midfielder,29,2382,1.9655172413793103,1.4137931034482758,1.3793103448275863,0.10344827586206896,2.3793103448275863,0.7241379310344828,0.13793103448275862,7.3100000000000005
Fabian Schär,Newcastle,31,Defender,24,2004,2.5,2.7916666666666665,1.1666666666666667,0.375,5.708333333333333,1.0833333333333333,0.6666666666666666,7.297916666666667
Benjamin Mendy,Man City,29,Defender,10,900,1.6,1.0,1.2,0.4,1.6,0.8,0.4,7.294000000000001
Aaron Wan-Bissaka,Crystal Palace,25,Defender,35,3135,3.6857142857142855,2.4,0.6571428571428571,0.2857142857142857,3.6857142857142855,0.2857142857142857,0.45714285714285713,7.26742857142857
David Silva,Man City,37,Midfielder,33,2412,0.9090909090909091,0.6666666666666666,0.7878787878787878,0.0,0.36363636363636365,0.6060606060606061,0.030303030303030304,7.258787878787878
Bernardo Silva,Man City,29,Midfielder,36,2853,1.4444444444444444,0.6944444444444444,0.8611111111111112,0.0,0.6666666666666666,1.4166666666666667,0.08333333333333333,7.258333333333334
Leroy Sané,Man City,27,Forward,31,1867,0.7741935483870968,0.25806451612903225,0.2903225806451613,0.0,0.06451612903225806,0.6774193548387096,0.06451612903225806,7.256451612903227
Felipe Anderson,West Ham,30,Midfielder,36,3054,2.4722222222222223,1.1388888888888888,0.75,0.027777777777777776,0.3333333333333333,1.9444444444444444,0.0,7.230833333333335
Wilfred Ndidi,Leicester,26,Midfielder,38,3299,3.763157894736842,2.1842105263157894,1.2105263157894737,0.05263157894736842,2.1052631578947367,1.2894736842105263,0.23684210526315788,7.213157894736843
Wilfried Zaha,Crystal Palace,30,Forward,34,3041,1.1470588235294117,0.29411764705882354,1.2941176470588236,0.0,0.029411764705882353,0.6470588235294118,0.0,7.208823529411765
James Maddison,Leicester,26,Midfielder,36,2850,1.3333333333333333,0.3333333333333333,0.6944444444444444,0.0,0.1388888888888889,1.2222222222222223,0.1111111111111111,7.19861111111111
Roberto Firmino,Liverpool,31,Forward,34,2620,0.8823529411764706,0.17647058823529413,1.1176470588235294,0.0,0.4411764705882353,0.7941176470588235,0.029411764705882353,7.197058823529411
