Name,Team,Age,Position,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
Eden Hazard,Chelsea,32,Forward,37,2926,16,15,2.5135135135135136,2.6486486486486487,3.7027027027027026,2.810810810810811,0.2972972972972973,2.2972972972972974,2.3513513513513513,7.811621621621624
Raheem Sterling,Man City,28,Forward,34,2777,17,10,2.264705882352941,1.9411764705882353,2.411764705882353,1.2941176470588236,0.38235294117647056,2.5588235294117645,2.176470588235294,7.614411764705882
Mohamed Salah,Liverpool,31,Forward,38,3262,22,8,3.6052631578947367,1.7894736842105263,2.1052631578947367,0.8421052631578947,0.7105263157894737,3.1315789473684212,2.8684210526315788,7.566052631578947
Sergio Agüero,Man City,35,Forward,33,2480,21,8,3.5757575757575757,1.0303030303030303,1.3636363636363635,0.7575757575757576,0.7878787878787878,1.6363636363636365,2.242424242424242,7.529090909090908
Virgil van Dijk,Liverpool,32,Defender,38,3385,4,2,0.8157894736842105,0.18421052631578946,0.23684210526315788,0.5789473684210527,0.02631578947368421,0.02631578947368421,0.18421052631578946,7.439473684210524
Sadio Mané,Liverpool,31,Forward,36,3086,22,1,2.4166666666666665,1.25,1.4166666666666667,1.7777777777777777,0.6944444444444444,1.3333333333333333,2.888888888888889,7.432777777777779
Harry Kane,Tottenham,30,Forward,28,2427,17,4,3.642857142857143,1.0714285714285714,1.4285714285714286,1.8571428571428572,0.35714285714285715,1.5714285714285714,2.857142857142857,7.38357142857143
Trent Alexander-Arnold,Liverpool,24,Defender,29,2467,1,12,1.0,1.6551724137931034,0.4827586206896552,0.2413793103448276,0.13793103448275862,0.4827586206896552,1.4137931034482758,7.363793103448274
Lucas Digne,Everton,30,Defender,35,2966,4,4,0.9714285714285714,2.0285714285714285,0.4,0.9142857142857143,0.05714285714285714,0.8571428571428571,0.8857142857142857,7.359714285714286
Ricardo Pereira,Leicester,29,Defender,35,3125,2,6,0.7142857142857143,0.9428571428571428,1.9428571428571428,1.3714285714285714,0.05714285714285714,0.9714285714285714,1.4857142857142858,7.339714285714285
Paul Pogba,Man Utd,30,Midfielder,35,3012,13,9,3.0,1.5714285714285714,1.7142857142857142,1.9714285714285715,0.14285714285714285,2.5428571428571427,2.142857142857143,7.312
Fernandinho,Man City,38,Midfielder,29,2382,1,3,1.0344827586206897,0.7586206896551724,0.6551724137931034,0.896551724137931,0.06896551724137931,0.4482758620689655,0.8620689655172413,7.3100000000000005
Fabian Schär,Newcastle,31,Defender,24,2004,4,1,1.0416666666666667,0.4583333333333333,0.5833333333333334,0.7916666666666666,0.041666666666666664,0.4166666666666667,0.4583333333333333,7.297916666666667
Benjamin Mendy,Man City,29,Defender,10,900,0,5,0.7,1.2,0.9,0.2,0.0,1.1,0.9,7.294000000000001
Aaron Wan-Bissaka,Crystal Palace,25,Defender,35,3135,0,3,0.2571428571428571,0.4,1.7428571428571429,0.45714285714285713,0.05714285714285714,1.0571428571428572,1.2285714285714286,7.26742857142857
David Silva,Man City,37,Midfielder,33,2412,6,8,1.5454545454545454,2.212121212121212,0.9393939393939394,0.7575757575757576,0.15151515151515152,0.9090909090909091,0.8484848484848485,7.258787878787878
Bernardo Silva,Man City,29,Midfielder,36,2853,7,7,1.7222222222222223,1.9722222222222223,1.3611111111111112,0.6666666666666666,0.05555555555555555,1.0277777777777777,1.2222222222222223,7.258333333333334
Leroy Sané,Man City,27,Forward,31,1867,10,10,1.8064516129032258,1.2903225806451613,1.7741935483870968,0.45161290322580644,0.5806451612903226,1.3870967741935485,2.2580645161290325,7.256451612903227
Felipe Anderson,West Ham,30,Midfielder,36,3054,9,4,1.6111111111111112,1.8055555555555556,2.111111111111111,1.4444444444444444,0.1388888888888889,1.5,2.6944444444444446,7.230833333333335
Wilfred Ndidi,Leicester,26,Midfielder,38,3299,2,0,1.4473684210526316,0.5789473684210527,0.9210526315789473,0.5789473684210527,0.05263157894736842,0.9473684210526315,1.5,7.213157894736843
Wilfried Zaha,Crystal Palace,30,Forward,34,3041,10,5,2.1470588235294117,1.588235294117647,3.3529411764705883,3.0,0.47058823529411764,4.205882352941177,3.5588235294117645,7.208823529411765
James Maddison,Leicester,26,Midfielder,36,2850,7,7,2.3055555555555554,2.7777777777777777,1.3888888888888888,2.1666666666666665,0.05555555555555555,1.0833333333333333,1.3055555555555556,7.19861111111111
Roberto Firmino,Liverpool,31,Forward,34,2620,12,6,2.2058823529411766,1.2647058823529411,1.4411764705882353,0.29411764705882354,0.20588235294117646,1.8235294117647058,2.2941176470588234,7.197058823529411
Luka Milivojevic,Crystal Palace,32,Midfielder,38,3420,12,2,1.5,1.5526315789473684,0.34210526315789475,0.9736842105263158,0.0,0.5,0.7105263157894737,7.194210526315788
John Ruddy,Wolves,36,Goalkeeper,1,90,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.19
Oleksandr Zinchenko,Man City,26,Defender,14,1153,0,3,0.5,0.8571428571428571,0.35714285714285715,0.35714285714285715,0.07142857142857142,0.35714285714285715,0.5,7.189285714285715
Marcos Alonso,Chelsea,32,Defender,31,2761,2,4,1.4516129032258065,1.064516129032258,0.5483870967741935,1.1935483870967742,0.06451612903225806,0.9032258064516129,1.032258064516129,7.177741935483872
Alexandre Lacazette,Arsenal,32,Forward,35,2507,13,8,2.3142857142857145,0.8857142857142857,1.3142857142857143,1.542857142857143,0.6857142857142857,1.7428571428571429,1.9714285714285715,7.17
Gylfi Sigurdsson,Everton,33,Midfielder,38,3134,13,6,2.263157894736842,1.9473684210526316,1.0,1.0263157894736843,0.07894736842105263,0.8421052631578947,2.0526315789473686,7.164210526315787
Sol Bamba,Cardiff,38,Defender,28,2477,4,1,0.7857142857142857,0.14285714285714285,0.5,0.42857142857142855,0.10714285714285714,0.39285714285714285,0.7142857142857143,7.150714285714285
Idrissa Gueye,Everton,33,Midfielder,33,2826,0,2,0.5757575757575758,0.5454545454545454,0.696969696969697,1.1515151515151516,0.0,0.8787878787878788,0.9696969696969697,7.139393939393939
Youri Tielemans,Leicester,26,Midfielder,13,1092,3,4,2.3846153846153846,1.2307692307692308,0.9230769230769231,1.1538461538461537,0.0,1.1538461538461537,1.3846153846153846,7.139230769230768
Paulo Gazzaniga,Tottenham,31,Goalkeeper,3,270,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,7.136666666666667
Michael Keane,Everton,30,Defender,33,2970,1,2,0.9393939393939394,0.2727272727272727,0.18181818181818182,0.21212121212121213,0.0,0.12121212121212122,0.30303030303030304,7.125757575757577
Étienne Capoue,Watford,35,Midfielder,33,2947,1,3,0.5454545454545454,0.30303030303030304,0.9696969696969697,1.7575757575757576,0.0,0.6060606060606061,0.5454545454545454,7.125151515151513
Matt Doherty,Wolves,31,Defender,38,3147,4,5,1.2105263157894737,1.0,0.5263157894736842,0.5526315789473685,0.07894736842105263,0.6052631578947368,1.1578947368421053,7.120789473684211
Willy Boly,Wolves,32,Defender,36,3169,4,0,0.6666666666666666,0.3055555555555556,0.3611111111111111,0.3888888888888889,0.08333333333333333,0.4166666666666667,0.3055555555555556,7.1194444444444445
Andy Robertson,Liverpool,29,Defender,36,3219,0,11,0.4444444444444444,1.4166666666666667,0.7777777777777778,0.4444444444444444,0.027777777777777776,0.6388888888888888,0.8611111111111112,7.115833333333332
James Tarkowski,Burnley,30,Defender,35,3087,3,1,0.6285714285714286,0.17142857142857143,0.2,0.8857142857142857,0.11428571428571428,0.2857142857142857,0.7428571428571429,7.113428571428569
Shane Duffy,Brighton,31,Defender,35,3088,5,1,1.0571428571428572,0.2,0.14285714285714285,0.2857142857142857,0.11428571428571428,0.05714285714285714,0.4857142857142857,7.110571428571428
Troy Deeney,Watford,35,Forward,32,2548,9,5,2.0,1.34375,0.1875,1.125,0.40625,1.09375,1.90625,7.108750000000002
Joël Matip,Liverpool,32,Defender,22,1535,1,0,0.36363636363636365,0.13636363636363635,0.2727272727272727,0.7727272727272727,0.0,0.045454545454545456,0.3181818181818182,7.105909090909091
Kieran Trippier,Tottenham,32,Defender,27,2278,1,3,0.2962962962962963,1.8148148148148149,0.25925925925925924,0.8888888888888888,0.2222222222222222,0.5185185185185185,0.7407407407407407,7.099629629629631
Pierre-Emerick Aubameyang,Arsenal,34,Forward,36,2733,22,5,2.611111111111111,0.9166666666666666,0.8055555555555556,0.6388888888888888,0.6388888888888888,0.9166666666666666,1.6944444444444444,7.0975
Son Heung-Min,Tottenham,31,Forward,31,2049,12,6,2.3870967741935485,1.064516129032258,1.5483870967741935,0.6129032258064516,0.7096774193548387,1.3870967741935485,1.935483870967742,7.09741935483871
Ilkay Gündogan,Man City,32,Midfielder,31,2136,6,3,1.3870967741935485,1.3870967741935485,0.6129032258064516,0.7419354838709677,0.0,0.4838709677419355,0.9032258064516129,7.096774193548386
Ryan Fraser,Bournemouth,29,Midfielder,38,3173,7,14,1.3421052631578947,2.4473684210526314,0.631578947368421,1.7894736842105263,0.2631578947368421,0.7105263157894737,1.368421052631579,7.083157894736843
Christian Eriksen,Tottenham,31,Midfielder,35,2772,8,12,2.3714285714285714,2.085714285714286,0.5142857142857142,0.45714285714285713,0.05714285714285714,0.8285714285714286,1.7428571428571429,7.083142857142857
