Rank,Name,Position,Team,Weekly Salary
1,Fernando Torres ,Forward,CFC,"£340,362"
2,Wayne Rooney ,Forward,MUFC,"£300,000"
3,Eden Hazard ,Midfielder,CFC,"£225,000"
4,Sergio Aguero ,Forward,MCFC,"£220,000"
,Yaya Toure ,Midfielder,MCFC,"£220,000"
6,David De Gea ,Goalkeeper,MUFC,"£200,000"
7,Diego Costa ,Forward,CFC,"£185,000"
8,David Silva ,Midfielder,MCFC,"£160,000"
,Juan Mata ,Midfielder,MUFC,"£160,000"
10,Lukas Podolski ,Forward,AFC,"£157,769"
11,Cesc Fàbregas ,Midfielder,CFC,"£156,000"
12,André Schurrle ,Forward,CFC,"£152,623"
13,Midfielder,,CFC,"£152,255"
14,John Terry ,Defender,CFC,"£150,000"
,Kevin De Bruyne ,Midfielder,MCFC,"£150,000"
,Vincent Kompany ,Defender,MCFC,"£150,000"
,Samir Nasri ,Forward,MCFC,"£150,000"
,Raheem Sterling ,Forward,MCFC,"£150,000"
19,Mesut Ozil ,Midfielder,AFC,"£140,000"
,Alexis Sanchez ,Forward,AFC,"£140,000"
,Theo Walcott ,Forward,AFC,"£140,000"
,Christian Benteke ,Forward,LFC,"£140,000"
,James Milner ,Midfielder,LFC,"£140,000"
24,Demba Ba ,Forward,CFC,"£137,276"
25,Daniel Sturridge ,Forward,LFC,"£130,000"
26,Danny Welbeck ,Forward,AFC,"£125,000"
27,Thibaut Courtois ,Goalkeeper,CFC,"£120,000"
,Nicolas Otamendi ,Defender,MCFC,"£120,000"
,Ashley Young ,Midfielder,MUFC,"£120,000"
30,Joe Hart ,Goalkeeper,MCFC,"£116,000"
31,Ander Herrera ,Midfielder,MUFC,"£115,000"
32,Aaron Ramsey ,Midfielder,AFC,"£110,000"
,Anthony Martial ,Forward,MUFC,"£110,000"
,Marcos Rojo ,Defender,MUFC,"£110,000"
,Luke Shaw ,Defender,MUFC,"£110,000"
36,Santi Cazorla ,Midfielder,AFC,"£100,000"
,Petr Cech ,Goalkeeper,AFC,"£100,000"
,Gary Cahill ,Defender,CFC,"£100,000"
,Pedro Rodríguez Ledesma ,Midfielder,CFC,"£100,000"
,Jamie Vardy ,Forward,LC,"£100,000"
,Roberto Firmino ,Forward,LFC,"£100,000"
,Jordan Henderson ,Midfielder,LFC,"£100,000"
,Wilfried Bony ,Forward,MCFC,"£100,000"
,Fernandinho Luis Roza ,Midfielder,MCFC,"£100,000"
,Eliaquim Mangala ,Defender,MCFC,"£100,000"
,Fernando Reges ,Midfielder,MCFC,"£100,000"
47,Jack Wilshere ,Midfielder,AFC,"£90,000"
,Nemanja Matic ,Midfielder,CFC,"£90,000"
,Loic Remy ,Forward,CFC,"£90,000"
,Andy Carroll ,Forward,WHUFC,"£90,000"
51,Baba Rahman ,Defender,CFC,"£86,000"
,Yohan Cabaye ,Midfielder,CP,"£86,000"
53,Willian da Silva ,Midfielder,CFC,"£85,000"
,Mamadou Sakho ,Defender,LFC,"£85,000"
,Antonio Valencia ,Defender,MUFC,"£85,000"
,Heung-Min Son ,Forward,THFC,"£85,000"
57,Olivier Giroud ,Forward,AFC,"£80,000"
,Romelu Lukaku ,Forward,EFC,"£80,000"
,Fabian Delph ,Midfielder,MCFC,"£80,000"
,Marouane Fellaini ,Midfielder,MUFC,"£80,000"
,Toby Alderweireld ,Defender,THFC,"£80,000"
,Erik Lamela ,Midfielder,THFC,"£80,000"
63,Charles  N'Zogbia ,Midfielder,AVFC,"£76,538"
64,John Mikel Obi ,Midfielder,CFC,"£75,155"
65,Mathieu Debuchy ,Defender,AFC,"£75,000"
,Branislav Ivanovic ,Defender,CFC,"£75,000"
,Danny Ings ,Forward,LFC,"£75,000"
,Lucas Leiva ,Midfielder,LFC,"£75,000"
,Daley Blind ,Defender,MUFC,"£75,000"
,Phil Jones ,Defender,MUFC,"£75,000"
71,Thomas Vermaelen ,Defender,AFC,"£70,047"
72,Per Mertesacker ,Defender,AFC,"£70,000"
,Kevin Mirallas ,Forward,EFC,"£70,000"
,Nathaniel Clyne ,Defender,LFC,"£70,000"
,Philippe Coutinho ,Midfielder,LFC,"£70,000"
,Chris Smalling ,Defender,MUFC,"£70,000"
,Jonjo Shelvey ,Midfielder,NUFC,"£70,000"
,Jermain Defoe ,Forward,SUFC,"£70,000"
,Charlie Austin ,Forward,SFC,"£70,000"
80,Aleksandar Kolarov ,Defender,MCFC,"£69,000"
81,Romelu Lukaku ,Forward,CFC,"£68,638"
82,Nacho Monreal ,Defender,AFC,"£65,000"
,Alex Oxlade-Chamberlain ,Midfielder,AFC,"£65,000"
,Adam Lallana ,Midfielder,LFC,"£65,000"
,Dejan Lovren ,Defender,LFC,"£65,000"
,Sergio Romero ,Goalkeeper,MUFC,"£65,000"
,Mame Diouf ,Forward,SCFC,"£65,000"
,Xherdan Shaqiri ,Midfielder,SCFC,"£65,000"
,Jonny Evans ,Defender,WAT,"£65,000"
90,Marko Marin ,Midfielder,CFC,"£62,149"
91,Leighton Baines ,Defender,EFC,"£60,923"
92,Ramires Santos do Nascimento ,Midfielder,CFC,"£60,124"
93,Laurent Koscielny ,Defender,AFC,"£60,000"
,César Azpilicueta ,Defender,CFC,"£60,000"
,Asmir Begovic ,Goalkeeper,CFC,"£60,000"
,Thibaut Courtois ,Goalkeeper,CFC,"£60,000"
,Scott Dann ,Defender,CP,"£60,000"
,Connor Wickham ,Forward,CP,"£60,000"
,Gareth Barry ,Midfielder,EFC,"£60,000"
,Adnan Januzaj ,Forward,MUFC,"£60,000"
,Aleksandar Mitrovic ,Forward,NUFC,"£60,000"
,Jose Salomon Rondon ,Forward,WBAFC,"£60,000"
,Angelo Ogbonna ,Defender,WHUFC,"£60,000"
,Winston Reid ,Defender,WHUFC,"£60,000"
105,Bakary Sako ,Midfielder,CP,"£55,000"
,Oumar Niasse ,Forward,EFC,"£55,000"
,Jay Rodriguez ,Forward,SFC,"£55,000"
,Mousa Dembele ,Midfielder,THFC,"£55,000"
109,Libor Kozak ,Forward,AVFC,"£53,365"
110,Brad Guzan ,Goalkeeper,AVFC,"£51,407"
111,Hector Bellerin ,Defender,AFC,"£50,000"
,Victor Moses ,Defender,CFC,"£50,000"
,James McArthur ,Midfielder,CP,"£50,000"
,Tom Cleverley ,Midfielder,EFC,"£50,000"
,Phil Jagielka ,Defender,EFC,"£50,000"
,Aaron Lennon ,Forward,EFC,"£50,000"
,James McCarthy ,Midfielder,EFC,"£50,000"
,Tim Krul ,Goalkeeper,NUFC,"£50,000"
,Lukasz Fabianski ,Goalkeeper,SWFC,"£50,000"
,Jordy Clasie ,Midfielder,SFC,"£50,000"
,Giannelli Imbula ,Midfielder,SCFC,"£50,000"
,Harry Kane ,Forward,THFC,"£50,000"
,Mark Noble ,Midfielder,WHUFC,"£50,000"
,Pedro Obiang ,Midfielder,WHUFC,"£50,000"
125,Ross Barkley ,Midfielder,EFC,"£48,000"
,Gerard Deulofeu ,Forward,EFC,"£48,000"
,Bojan Krkic ,Midfielder,SCFC,"£48,000"
128,Kieran Gibbs ,Defender,AFC,"£46,000"
129,Calum Chambers ,Defender,AFC,"£45,000"
,Carl Jenkinson ,Defender,AFC,"£45,000"
,Victor Moses ,Defender,CFC,"£45,000"
,Danny Drinkwater ,Midfielder,LC,"£45,000"
,Emre Can ,Midfielder,LFC,"£45,000"
,Matteo Darmian ,Defender,MUFC,"£45,000"
,Ayoze Perez ,Forward,NUFC,"£45,000"
,Ryan Shawcross ,Defender,SCFC,"£45,000"
,Philipp Wollscheid ,Defender,SCFC,"£45,000"
,Federico Fazio ,Defender,THFC,"£45,000"
,Nordin Amrabat ,Forward,WAT,"£45,000"
140,Federico Fernandez ,Defender,SCAFC,"£43,000"
141,Andreas Andreas Weimann ,Forward,AVFC,"£42,899"
142,Kurt Zouma ,Defender,CFC,"£42,308"
143,Aiden McGeady ,Forward,EFC,"£42,000"
,Valon Behrami ,Midfielder,WAT,"£42,000"
145,Ryan Bertrand ,Defender,CFC,"£40,083"
146,David Ospina ,Goalkeeper,AFC,"£40,000"
,Ramiro Funes Mori ,Defender,EFC,"£40,000"
,Yohan Benalouane ,Defender,LC,"£40,000"
,Alberto Moreno ,Defender,LFC,"£40,000"
,Siem de Jong ,Midfielder,NUFC,"£40,000"
,Nabil Bentaleb ,Midfielder,THFC,"£40,000"
,Mario Suarez ,Midfielder,WAT,"£40,000"
,Enner Valencia ,Forward,WHUFC,"£40,000"
154,Jores Okore ,Defender,AVFC,"£39,904"
155,Seamus Coleman ,Defender,EFC,"£38,000"
,Robert Huth ,Defender,LC,"£38,000"
,Erik Pieters ,Defender,SCFC,"£38,000"
,Clinton Njie ,Forward,THFC,"£38,000"
159,Shay Given ,Goalkeeper,AVFC,"£37,692"
160,Sung-Yeung Ki ,Midfielder,SCAFC,"£36,000"
,Wayne Routledge ,Midfielder,SCAFC,"£36,000"
162,Andrew Surman ,Midfielder,BOU,"£35,000"
,Andreas Christensen ,Defender,CFC,"£35,000"
,Fraizer Campbell ,Forward,CP,"£35,000"
,Jason Puncheon ,Midfielder,CP,"£35,000"
,Wilfried Zaha ,Forward,CP,"£35,000"
,Shinji Okazaki ,Forward,LC,"£35,000"
,Lazar Markovic ,Forward,LFC,"£35,000"
,Vurnon Anita ,Defender,NUFC,"£35,000"
,Jack Colback ,Midfielder,NUFC,"£35,000"
,Yoan Gouffran ,Midfielder,NUFC,"£35,000"
,Chancel Mbemba ,Defender,NUFC,"£35,000"
,Emmanuel Rivière ,Forward,NUFC,"£35,000"
,Henri Saivet ,Midfielder,NUFC,"£35,000"
,Charlie Adam ,Midfielder,SCFC,"£35,000"
,Jack Butland ,Goalkeeper,SCFC,"£35,000"
,Jack Cork ,Midfielder,SCAFC,"£35,000"
,Kieran Trippier ,Defender,THFC,"£35,000"
,Étienne Capoue ,Midfielder,WAT,"£35,000"
,James Collins ,Defender,WHUFC,"£35,000"
181,Jon Flanagan ,Defender,LFC,"£33,000"
,Stephen Ireland ,Midfielder,SCFC,"£33,000"
,Joselu Mato ,Forward,SCFC,"£33,000"
,Marc Muniesa ,Defender,SCFC,"£33,000"
185,Kyle Naughton ,Defender,SCAFC,"£32,000"
186,Phil Bardsley ,Defender,SCFC,"£31,000"
187,Josh McEachran ,Midfielder,CFC,"£30,062"
188,Simon Francis ,Defender,BOU,"£30,000"
