No,Player,Team,Apps,Min,G,NPG,A,xG,NPxG,xA,xGChain,xGBuildup,xG90,NPxG90,xA90,xG90+xA90,NPxG90+xA90,xGChain90,xGBuildup90
318,Pierre-Emerick Aubameyang,Arsenal,36,2740,22,18,5,23.55,19.74,4.99,26.58,6.48,0.77,0.65,0.16,0.94,0.81,0.87,0.21
838,Sadio Mané,Liverpool,36,3100,22,22,1,16.76,16.76,5.12,28.40,8.49,0.49,0.49,0.15,0.64,0.64,0.82,0.25
1250,Mohamed Salah,Liverpool,38,3274,22,19,8,21.79,19.51,10.47,31.78,7.87,0.60,0.54,0.29,0.89,0.82,0.87,0.22
619,Sergio Agüero,Manchester City,33,2515,21,19,8,19.95,18.43,5.23,28.70,8.10,0.71,0.66,0.19,0.90,0.85,1.03,0.29
755,Jamie Vardy,Leicester,34,2740,18,14,4,19.12,15.31,5.14,20.78,1.91,0.63,0.50,0.17,0.80,0.67,0.68,0.06
618,Raheem Sterling,Manchester City,34,2788,17,17,10,15.91,15.91,10.79,33.02,12.63,0.51,0.51,0.35,0.86,0.86,1.07,0.41
647,Harry Kane,Tottenham,28,2437,17,13,4,16.12,13.08,4.56,18.84,4.84,0.60,0.48,0.17,0.76,0.65,0.70,0.18
701,Eden Hazard,Chelsea,37,2935,16,12,15,12.30,9.25,11.57,25.33,11.55,0.38,0.28,0.35,0.73,0.64,0.78,0.35
468,Callum Wilson,Bournemouth,30,2548,14,13,9,16.02,14.49,5.96,21.33,5.06,0.57,0.51,0.21,0.78,0.72,0.75,0.18
714,Gylfi Sigurdsson,Everton,38,3150,13,11,6,12.12,8.31,6.79,15.67,5.15,0.35,0.24,0.19,0.54,0.43,0.45,0.15
882,Glenn Murray,Brighton,38,2517,13,9,1,11.54,8.50,1.12,8.43,1.40,0.41,0.30,0.04,0.45,0.34,0.30,0.05
1740,Paul Pogba,Manchester United,35,3013,13,6,9,15.88,8.27,5.19,21.13,11.59,0.47,0.25,0.15,0.63,0.40,0.63,0.35
3277,Alexandre Lacazette,Arsenal,35,2498,13,13,8,12.03,12.03,4.10,22.08,8.81,0.43,0.43,0.15,0.58,0.58,0.80,0.32
4105,Raúl Jiménez,Wolverhampton Wanderers,38,3143,13,11,7,14.27,12.75,6.99,20.92,4.34,0.41,0.37,0.20,0.61,0.57,0.60,0.12
6026,Richarlison,Everton,35,2702,13,13,1,11.33,11.33,1.96,13.40,5.10,0.38,0.38,0.07,0.44,0.44,0.45,0.17
453,Son Heung-Min,Tottenham,31,2061,12,12,6,8.36,8.36,3.97,16.20,6.03,0.37,0.37,0.17,0.54,0.54,0.71,0.26
465,Joshua King,Bournemouth,35,2987,12,7,3,13.55,8.98,4.26,19.07,8.41,0.41,0.27,0.13,0.54,0.40,0.57,0.25
482,Roberto Firmino,Liverpool,34,2631,12,11,6,13.74,12.98,6.34,24.35,9.15,0.47,0.44,0.22,0.69,0.66,0.83,0.31
594,Romelu Lukaku,Manchester United,32,2113,12,12,0,13.11,13.11,2.32,15.43,5.43,0.56,0.56,0.10,0.66,0.66,0.66,0.23
770,Ayoze Pérez,Newcastle United,37,2950,12,12,2,8.29,8.29,4.03,15.61,5.63,0.25,0.25,0.12,0.38,0.38,0.48,0.17
4422,Ashley Barnes,Burnley,37,2379,12,10,2,13.26,11.74,3.64,14.35,2.10,0.50,0.44,0.14,0.64,0.58,0.54,0.08
5549,Luka Milivojevic,Crystal Palace,38,3420,12,2,2,10.49,2.12,3.39,9.53,8.30,0.28,0.06,0.09,0.37,0.14,0.25,0.22
773,Aleksandar Mitrovic,Fulham,37,3285,11,10,3,15.45,14.69,2.97,18.90,5.37,0.42,0.40,0.08,0.50,0.48,0.52,0.15
813,Salomón Rondón,Newcastle United,32,2616,11,11,7,10.64,10.64,3.41,15.46,4.22,0.37,0.37,0.12,0.48,0.48,0.53,0.15
337,Leroy Sané,Manchester City,31,1866,10,10,10,6.98,6.98,8.10,21.35,10.56,0.34,0.34,0.39,0.73,0.73,1.03,0.51
522,Wilfried Zaha,Crystal Palace,34,3046,10,10,5,6.49,6.49,5.40,16.56,7.04,0.19,0.19,0.16,0.35,0.35,0.49,0.21
553,Anthony Martial,Manchester United,27,1632,10,9,2,7.95,7.19,3.25,11.80,3.60,0.44,0.40,0.18,0.62,0.58,0.65,0.20
556,Marcus Rashford,Manchester United,33,2360,10,10,6,11.61,11.61,5.27,16.82,5.24,0.44,0.44,0.20,0.64,0.64,0.64,0.20
591,Gerard Deulofeu,Watford,30,2110,10,10,5,8.33,8.33,4.96,15.97,5.43,0.36,0.36,0.21,0.57,0.57,0.68,0.23
865,Marko Arnautovic,West Ham,28,2006,10,9,4,8.94,8.18,4.00,12.38,2.85,0.40,0.37,0.18,0.58,0.55,0.56,0.13
