,Unnamed: 0,Player,year
81,4825,Adam Clayton,2016
72,4816,Adrian Mariappa,2016
190,4934,Ahmed Elmohamady,2020
79,4823,Ahmed Elmohamady,2016
10,4754,Ahmed Elmohamady,2014
152,4896,Ahmed Elmohamady,2019
25,4769,Ainsley Maitland-Niles,2014
8,4752,Alberto Moreno,2014
45,4789,Alex Oxlade-Chamberlain,2015
63,4807,Alex Oxlade-Chamberlain,2016
92,4836,Alex Oxlade-Chamberlain,2017
127,4871,Alex Oxlade-Chamberlain,2018
141,4885,Alex Oxlade-Chamberlain,2019
258,5002,Alex Oxlade-Chamberlain,2022
181,4925,Alex Oxlade-Chamberlain,2020
221,4965,Alex Oxlade-Chamberlain,2021
11,4755,Alex Oxlade-Chamberlain,2014
217,4961,Alexis Mac Allister,2021
32,4776,Alexis Sanchez,2015
159,4903,Alisson,2019
269,5013,Alisson,2022
182,4926,Alisson,2020
233,4977,Alisson,2021
129,4873,Alisson,2018
202,4946,Amad Diallo Traore,2020
24,4768,Andrew Robertson,2014
145,4889,Andrew Robertson,2019
220,4964,Andrew Robertson,2021
270,5014,Andrew Robertson,2022
68,4812,Andrew Robertson,2016
100,4844,Andrew Robertson,2017
184,4928,Andrew Robertson,2020
130,4874,Andrew Robertson,2018
140,4884,Andriy Yarmolenko,2019
119,4863,Andriy Yarmolenko,2018
228,4972,Andriy Yarmolenko,2021
197,4941,Andriy Yarmolenko,2020
14,4758,Angel Rangel,2014
171,4915,Anwar El Ghazi,2020
285,5029,Armel Bella Kotchap,2022
265,5009,Arnaut Danjuma Groeneveld,2022
167,4911,Arnaut Danjuma Groeneveld,2019
226,4970,Ashley Barnes,2021
193,4937,Aymeric Laporte,2020
264,5008,Benoit Badiashile Mukinayi,2022
80,4824,Bernardo,2016
174,4918,Bobby Reid,2020
252,4996,Bobby Reid,2022
115,4859,Bobby Reid,2018
28,4772,Brad Jones,2014
37,4781,Branislav Ivanovic,2015
275,5019,Bryan Gil Salvatierra,2022
239,4983,Bryan Gil Salvatierra,2021
153,4897,Callum Robinson,2019
278,5022,Cheick Oumar Doucoure,2022
